19/07/2018,"-7.40","132 EDINBURGH SA         EDINBURGH   SA",""
19/07/2018,"-55.94","PASADENA FOODLAND        PASADENA    SA",""
19/07/2018,"-54.00","SHOE SHED AUSTRALIA PT   RICHMOND",""
19/07/2018,"-6.40","CONELENI PTY LTD   QPS   ADELAIDE",""
18/07/2018,"-11.10","COFFEE CLUB MARION       OAKLANDS PARSA",""
18/07/2018,"-3.50","132 EDINBURGH SA         EDINBURGH   SA",""
18/07/2018,"-2.90","132 EDINBURGH SA         EDINBURGH   SA",""
18/07/2018,"-32.00","NEWS DIGITAL SUBS        SURRY HILLS",""
17/07/2018,"-4.00","132 EDINBURGH SA         EDINBURGH   SA",""
17/07/2018,"-5.30","132 EDINBURGH SA         EDINBURGH   SA",""
17/07/2018,"-16.45","Audible Australia        MELBOURNE   AUS",""
17/07/2018,"-17.60","Noarlunga Leisure        Noarlunga CeSA",""
17/07/2018,"-5.00","COLES 0419               PARK HOLME  AUS",""
17/07/2018,"-5.00","JARMEK PTY LTD           ADELAIDE    SA",""
17/07/2018,"-20.00","ADELAIDE METRO           ADELAIDE",""
16/07/2018,"-13.80","CIBO EXPRESSO MARION     OAKLANDS PAR",""
16/07/2018,"-60.00","1254 OPSM                OAKLANDS PARSA",""
16/07/2018,"-7.10","RHEINLAND CONTNL CKE     ADELAIDE    SA",""
16/07/2018,"-210.25","WOOLWORTHS W5661         ABERFOYLE PA",""
16/07/2018,"-26.00","SECURE PARKING RUNDL     ADELAIDE",""
15/07/2018,"-26.04","AMAZON MKTPLC AU         SYDNEY SOUTHNSW",""
15/07/2018,"-28.00","PRIMAL BLISS             VICTOR HARBOSA",""
15/07/2018,"-43.00","NINOS VICTOR HARBOR      VICTOR HARBOSA",""
15/07/2018,"-27.98","AMAZON MKTPLC AU         SYDNEY SOUTHNSW",""
14/07/2018,"-35.00","TONKINS SPORTS           VICTOR HARBOSA",""
14/07/2018,"-24.70","OCEAN STREET BAKEHSE     VICTOR HARBOSA",""
14/07/2018,"-120.00","VICTA CINEMA PTY LTD     VICTOR HARBOSA",""
14/07/2018,"-4.80","VICTA CINEMA PTY LTD     VICTOR HARBOSA",""
14/07/2018,"-44.50","KFC VICTOR HARBOR        VICTOR HARBOSA",""
14/07/2018,"-15.50","WOOLWORTHS W5653         VICTOR HARBO",""
14/07/2018,"-12.20","THE HOT SPOT CAFE  QPS   VICTOR HARBO",""
14/07/2018,"-27.30","BIG W W0549              VICTOR HARBO",""
13/07/2018,"-9.34","STRATCO GOOLWA H I S     GOOLWA      SA",""
13/07/2018,"-18.00","THE SALTWATER CAFE G     GOOLWA      SA",""
13/07/2018,"-44.58","LIBERTY SERVICE          NOARLUNGA   SA",""
13/07/2018,"-37.62","Menulog Pty Ltd          Sydney      AUS",""
13/07/2018,"-19.00","COUNTRY PICNIC BAKER     MOUNT COMPASSA",""
13/07/2018,"+750.00","PAYMENT RECEIVED, THANK YOU",""
13/07/2018,"-38.55","WOOLWORTHS W5668         GOOLWA",""
13/07/2018,"-24.00","WOOLWORTHS W5668         GOOLWA",""
13/07/2018,"-78.39","FLAGSTAFF HILL FOODL     FLAGSTAFF HI",""
13/07/2018,"-230.80","DPTI - EZYREG            ADELAIDE",""
13/07/2018,"-195.80","DPTI - EZYREG            ADELAIDE",""
13/07/2018,"-142.03","COMMONWEALTH INSURANCE   SYDNEY OLYMP",""
12/07/2018,"-23.10","POST   FLAGSTAFF HIL     FLAGSTAFF HI",""
12/07/2018,"-55.29","COLES 4942               ABERFOYLE PRAUS",""
12/07/2018,"-9.00","ADELAIDE OVAL SMA LQPS   NTH ADELAIDE",""
12/07/2018,"-11.40","CONELENI PTY LTD   QPS   ADELAIDE",""
11/07/2018,"-5.00","CAFE BANGBANG            ADELAIDE    SA",""
11/07/2018,"-48.99","REBEL MARION             OAKLANDS PARSA",""
11/07/2018,"-3.50","132 EDINBURGH SA         EDINBURGH   SA",""
11/07/2018,"+26.11","AMAZON MKTPLC AU         SYDNEY SOUTHNSW",""
11/07/2018,"-14.74","OFFICEWORKS 0510         MITCHELL PARAUS",""
11/07/2018,"-34.64","FLAGSTAFF HILL FOODQPS   FLAGSTAFF HI",""
10/07/2018,"-32.00","THE REJECT SHOP          GLENELG     SA",""
10/07/2018,"-0.50","132 EDINBURGH SA         EDINBURGH   SA",""
10/07/2018,"-2.90","132 EDINBURGH SA         EDINBURGH   SA",""
10/07/2018,"-24.90","HAPPY NSW PTY LTD        GLENELG     SA",""
10/07/2018,"-10.00","CHEAP AS CHIPS           GLENELG     SA",""
10/07/2018,"-3.80","CONELENI PTY LTD   QPS   ADELAIDE",""
